0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"El Espíritu Santo nos lleva a la verdad viva y plena sobre Dios; es decir, el Espíritu nos ayuda a vivir en el amor… https://t.co/kaMoOxge8w","El Espíritu Santo nos lleva a la verdad viva y plena sobre Dios; es decir, el Espíritu nos ayuda a vivir en el amor… https://t.co/kaMoOxge8w",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"God's Peaceful Messiah Jesus Will PROVE Consistency of All God's PEACEFUL Messages, CONFIRMING God's Ownership of E… https://t.co/UFC4DpL4zi","God's Peaceful Messiah Jesus Will PROVE Consistency of All God's PEACEFUL Messages, CONFIRMING God's Ownership of E… https://t.co/UFC4DpL4zi",0.25,0.5,positive,0.0,0.692,0.308,0.7983
“Permanecer na igreja é antes de tudo um sinal de permanência em Jesus” M. Jovem,“Permanecer na igreja é antes de tudo um sinal de permanência em Jesus” M. Jovem,0.0,0.0,neutral,0.0,1.0,0.0,0.0
bom dia com Jesus 🤩🤩🤩,bom dia com Jesus 🤩🤩🤩,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@pastorbolaji Amen in Jesus mighty name,@pastorbolaji Amen in Jesus mighty name,0.4,0.9,neutral,0.0,1.0,0.0,0.0
@Jesus_ZambranoG @PRDMexico Jajajajajaja. Lo tuyo es vivir del erario. 🤡🤡🤡🤡,@Jesus_ZambranoG @PRDMexico Jajajajajaja. Lo tuyo es vivir del erario. 🤡🤡🤡🤡,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@opebanwo @Ahmed_AtikuAbu @PeterObi @atiku @YeleSowore @MoghaluKingsley Did Jesus christ not eat with the pharisees… https://t.co/jo2ROW1mOD,@opebanwo @Ahmed_AtikuAbu @PeterObi @atiku @YeleSowore @MoghaluKingsley Did Jesus christ not eat with the pharisees… https://t.co/jo2ROW1mOD,0.0,0.0,neutral,0.0,1.0,0.0,0.0
JESÚS ♥️,JESÚS ♥️,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Or Jésus allait dans toutes les villes et dans les bourgades, enseignant dans leurs Synagogues, et prêchant l'Evang… https://t.co/jtdGe2Fzhc","Or Jésus allait dans toutes les villes et dans les bourgades, enseignant dans leurs Synagogues, et prêchant l'Evang… https://t.co/jtdGe2Fzhc",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Fancy putting Elvis, Bowie, Prince &amp; Michael Jackson in the same sentence as f*cking Harry Styles!!

Jesus wept. 😤 https://t.co/EV26K5j3lF","Fancy putting Elvis, Bowie, Prince &amp; Michael Jackson in the same sentence as f*cking Harry Styles!!

Jesus wept. 😤 https://t.co/EV26K5j3lF",-0.46875,0.4625,negative,0.164,0.777,0.059,-0.508
"@FrankKhalidUK Jesus is better, Sterling nope👎","@FrankKhalidUK Jesus is better, Sterling nope👎",0.5,0.5,positive,0.0,0.633,0.367,0.4404
@appiah008 @ajansfenercom Nasıl topçu iyi mi bari ?? İş yapar mı ?? Jesus mu istemiş bunu,@appiah008 @ajansfenercom Nasıl topçu iyi mi bari ?? İş yapar mı ?? Jesus mu istemiş bunu,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@priv_cloudie jesus mcfucking christ cloudie ur gonna kill everyone from thirst,@priv_cloudie jesus mcfucking christ cloudie ur gonna kill everyone from thirst,0.0,0.0,negative,0.32,0.68,0.0,-0.6908
Thank you Jesus,Thank you Jesus,0.0,0.0,positive,0.0,0.444,0.556,0.3612
"Asimismo, a nuestra querida @Hrociodelcerro que un año más ha acompañado al Santísimo junto a nosotros, y al benemé… https://t.co/fHbLAUCUGK","Asimismo, a nuestra querida @Hrociodelcerro que un año más ha acompañado al Santísimo junto a nosotros, y al benemé… https://t.co/fHbLAUCUGK",0.0,0.0,positive,0.0,0.87,0.13,0.34
"This is the player we should be all over, not Sterling or Jesus. https://t.co/aOZldhspW5","This is the player we should be all over, not Sterling or Jesus. https://t.co/aOZldhspW5",0.0,0.0,neutral,0.0,1.0,0.0,0.0
